cust_no	activated	email_optout	phone_optout	fax_optout	date_created	date_modified
C1	1	0	0	0	26/06/2015 15:23	05/02/2018 15:37
C2	1	0	0	0	30/03/2017 08:52	05/02/2018 15:37
C3	1	0	0	0	08/01/2009 09:28	05/02/2018 15:37
C4	1	1	0	0	27/01/2017 10:40	14/03/2018 10:01
C5	1	0	0	0	14/10/2008 13:51	29/05/2020 08:13
C6	1	0	0	0	11/10/2012 08:55	29/05/2020 08:13
C7	1	0	0	0	03/08/2012 10:48	05/02/2018 15:37
C8	1	0	0	0	17/01/2013 14:54	05/02/2018 15:37
C9	1	0	0	0	11/10/2017 08:46	05/02/2018 15:37
C10	1	0	0	0	21/11/2008 14:41	05/02/2018 15:37
C11	1	0	0	0	03/03/2009 11:51	05/02/2018 15:37
C12	0	0	0	0	25/11/2009 11:54	05/02/2018 15:37
C13	0	0	0	0	25/11/2009 11:57	05/02/2018 15:37
C14	0	0	0	0	25/11/2009 11:58	05/02/2018 15:37
D15	0	0	0	0	25/11/2009 11:59	05/02/2018 15:37
C16	1	0	0	0	25/11/2009 11:56	05/02/2018 15:37
C17	0	0	0	0	08/12/2016 11:55	05/02/2018 15:37
C18	1	0	0	0	19/04/2018 14:20	19/04/2018 14:20
C19	1	0	0	0	06/10/2008 10:20	29/05/2020 08:13
C20	1	0	0	0	20/08/2014 14:38	05/02/2018 15:37
C21	1	0	0	0	03/11/2016 11:15	05/02/2018 15:37
C22	1	0	0	0	04/04/2017 15:39	08/05/2018 09:39
C23	1	0	0	0	18/08/2009 16:00	29/05/2020 08:13
C24	0	0	0	0	12/01/2009 15:29	05/02/2018 15:37
C25	0	0	0	0	03/11/2016 10:46	05/02/2018 15:37
C26	1	0	0	0	01/09/2014 14:58	04/07/2019 15:49
C27	1	0	0	0	30/10/2009 16:37	05/02/2018 15:37
C28	0	0	0	0	21/11/2016 14:30	05/02/2018 15:37
C29	1	0	0	0	03/12/2012 11:57	05/02/2018 15:37
E30	1	0	0	0	31/01/2013 16:46	05/02/2018 15:37
C31	1	0	0	0	01/12/2008 15:21	05/02/2018 15:37
C32	0	0	0	0	23/11/2016 10:34	05/02/2018 15:37
C33	1	0	0	0	14/11/2017 10:47	16/11/2018 09:59
C34	1	0	0	0	08/12/2008 09:44	12/03/2019 09:52
